id,reporting_date,product_variant_code,product_variant_name,start_tenor,start_tenor_unit,end_tenor,end_tenor_unit,percentage,scenario_analysis_id,cashflow_frequency,percentage_type,effective_from_date,effective_to_date,is_active_flag,created_by,created_date,modified_by,modified_date,active_from,active_to,npa_category
827,2023-10-31,PA,Preshipment - Availed,1,Days,7,Days,13.0,None,Daily,Behavioural withdrawl,None,None,Yes,tushar.antarescentral,2024-12-26 14:05:35,tushar.antarescentral,2024-12-26 14:05:35,2024-12-26 14:05:35,2099-07-05 05:30:00,None
651,2021-09-30,BILLS-P,Bills payable,2,Weeks,2,Months,60.0,SCNR_BehavioralNMDAdj_001,Daily,Behavioural payment,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
531,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,15,Days,30,Days,6.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
532,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,31,Days,2,Months,1.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
533,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,2,Months,3,Months,0.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
534,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,3,Months,6,Months,43.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
535,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,6,Months,1,Year,0.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
536,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,1,Year,3,Year,0.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
537,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,3,Year,5,Year,0.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
538,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,5,Year,7,Year,0.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
539,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,7,Year,10,Year,0.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
540,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,10,Year,15,Year,0.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
541,2023-10-31,CCOD-Unavailed,Cash Credit and Overdrafts - Unavailed,15,Year,100,Year,0.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Credit conversion factor,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
542,2023-10-31,CA-EEFC,Current Account Deposits - EEFC,0,Days,1,Days,100.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Behavioural withdrawal,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
543,2023-10-31,CA-RFC,Current Account Deposits - RFC,0,Days,1,Days,100.0,Behavioural_Adjustment_SBM_LR_Reg,Daily,Behavioural withdrawal,None,None,Yes,revolutio_admin2.antarescentral,2024-11-20 19:29:13,revolutio_admin2.antarescentral,2024-11-20 19:29:13,2024-11-20 19:29:13,2099-07-05 05:30:00,None
