id,unique_reference_id,position_id,issuer,counterparty,position_direction,issue_date,start_date,maturity_date,reporting_date,settlement_date,next_reset_date,reset_frequency,reset_frequency_unit,purchase_price,strike_price,spot_price,credit_spread_rate,credit_spread_curve,sector,discount_daycount_convention,accrual_daycount_convention,primary_currency,secondary_currency,discounting_curve,forward_benchmark_curve,base_rate,face_value,redemption_amount,business_convention,holiday_calendar,payment_frequency,payment_frequency_units,amortization_type,principal_payment_frequency,principal_payment_frequency_unit,last_payment_date,last_principal_payment_date,fixed_or_float_flag,internal_rating,external_rating,quantity,cost_of_equity_capital,continuous_growth_rate,gl_code,branch_id,npa_flag,outstanding_amount,next_payment_date,created_by,created_date,modified_by,modified_date,active_from,active_to,next_principal_payment_date,original_limit_amount,unutilized_limit_amount,initial_amount,upload_source,collateral_id,custom_schedule_id,unencumbered_flag,prepayment_option_flag,prepayment_start_date,prepayment_end_date,moratorium_flag,moratorium_period,moratorium_period_units,moratorium_end_date,interest_calculation_logic_moratorium,moratorium_interest_capitalization,interest_overdue_amount,principal_overdue_amount,charges_overdue_amount,slr_flag,ifrs_classification,transactional_classification,avg_balance,ftp_rate,legal_entity,spot_yield,redemption_premium,cap_floor_type,put_call_type,option_style,hqla_flag,revocable_flag,revocable_option_start_date,revocable_option_end_date,operational_deposit_flag,rollover_flag,rollover_start_date,volatility_surface_id,asset_liability_type,capital_tier_type,fund_code,ammortised_bookvalue,mtm_value,wac,pool_id,asset_class,business,npa_category,underlying_position_id,emi_amount,rollover_end_date,deposit_insurance_flag,accrued_interest,hierarchy_name,fixed_spread,lcr_classification,margin_type,restructuring_flag,rehypothecation_flag,encumbrance_end_date,trade_finance_flag,reward_rate,discounting_curve_secondary_currency,last_reset_date,current_benchmark_rate,principal_payment_amount,consideration_amount,emi_start_date,emi_end_date,reissuance_price,reissuance_flag,compounding_frequency,compounding_frequency_unit,interest_moratorium_flag,interest_calculation_methodology,stable_deposit_flag,nmd_cashflow_frequency,deposit_classification,book_classification,security_trade_classification,defeasance_period,is_active_flag,issue_price,irrbb_classification,residual_maturity,stub_date,principal_stub_date,yield_compounding_frequency,yield_compounding_frequency_units,dividend_yield,deposit_frequency,deposit_frequency_unit,deposit_amount,last_deposit_date,barrier_price,tree_method_no_of_steps,barrier_hit_status,rebate,restructured_flag,guarantor_id,loan_to_value,securitisation_originator,ext_rating_source,rating_type,tranche_thickness,client_product_code,client_product_variant_name,product_variant_name,entity_pool_id,counterparty_type,disbursed_amount,sanctioned_limit,vertical,average_deposit_balance,deceased_status,matured_deposit,fixed_payment_day_flag,fixed_payment_day,payment_window,ibpc_flag,repayment_period_month_day_start,repayment_period_month_day_end,provision_amount,first_emi_amount,security_description,ltv_ratio,security_category,luc_flag,principal_business_day_convention,cgtmse_flag,cre_flag,cre_rh_flag,da_flag,employee_flag,outstanding_amount_npa,rating_incorp_enhancement,rescheduled_flag,secu_code,securitisation_tranche,securitised_flag,region,custom_formula_emi_frequency,custom_formula_emi_flag,loan_overdue_flag,days_past_due,advance_emi,write_off_flag,npa_subcategory,adjusted_outstanding_amount,book_price,listed_flag,convertibility_flag,short_or_long_term,secured_or_unsecured,processing_fee,secondary_discount_daycount_convention,reporting_currency,encumbered_bookvalue,unencumbered_bookvalue,unencumbered_market_value,small_business_customer,index_flag,collateral_lcr_classification,encumbered_quantity,unencumbered_quantity,encumbered_market_value,stable_deposit_amount_lcr,less_stable_amount_lcr,relationship_based,earliest_convertibility_date,market_value,ccp_flag,stable_deposit_amount_nsfr,less_stable_amount_nsfr,netting_agreement_flag,notional,original_deposit_amount,securitization_exposure_percentage,industry,exchange_traded,bulk_deposit_flag
3501364,0456PLA00061377,0456PLA00061377,,44422100%,,19-11-2022,,12-05-2027,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,15,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,,FALSE,229399,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,302060,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,7186,,,2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501365,0456PLA00061378,0456PLA00061378,,44504000%,,18-11-2022,,12-05-2027,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,14,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,Hyderabad,FALSE,532247,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,705251,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,16410,,,5497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501366,0456PLA00061379,0456PLA00061379,,44203600%,,18-11-2022,,12-05-2028,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,15,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,,FALSE,1137427,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,1394379,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,29485,,,12586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501367,0456PLA00061380,0456PLA00061380,,44239900%,,26-11-2022,,12-05-2027,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,13.5,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,,FALSE,1391735,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,1850000,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,42569,,,13860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501368,0456PLA00061384,0456PLA00061384,,44579400%,,19-11-2022,,12-05-2027,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,15,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,Aurangabad,FALSE,114657,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,201290,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,3587,,,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501369,0456PLA00061387,0456PLA00061387,,44103800%,,19-11-2022,,12-05-2026,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,15.5,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,,FALSE,339643,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,502747,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,14120,,,3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501370,0456PLA00061388,0456PLA00061388,,44462100%,,17-11-2022,,12-05-2027,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,15,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,,FALSE,229399,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,302060,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,7186,,,2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501371,0456PLA00061391,0456PLA00061391,,44637500%,,18-11-2022,,12-05-2025,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,16,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,,FALSE,381443,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,717700,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,25233,,,4502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501372,0456PLA00061396,0456PLA00061396,,44564200%,,24-11-2022,,12-05-2027,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,14,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,,FALSE,380137,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,503709,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,11721,,,3926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3501373,0456PLA00061397,0456PLA00061397,,44514400%,,23-11-2022,,12-05-2027,31-07-2024,,,,,,,,,,,ACT/ACT,ACT/ACT,INR,,FBIL_SBM_PAR_ANNUAL,,15,,,,,1,M,,1,M,07-05-2024,05-07-2024,Fixed,,,1,,,221117-23010,Chennai,FALSE,229445,08-05-2024,anil.antarescentral,27-01-2025 15:56,anil.antarescentral,27-01-2025 15:56,,,05-08-2024,302132,,,INDUS,,,,,,,,,,,,,,,,,,,,,AFL,,,,,,,,,,,,,,Asset,,,,,,,,,,,7188,,,2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,PERSONAL LOAN,EMI Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
