unique_reference_id,position_id,counterparty,issue_date,maturity_date,reporting_date,discount_daycount_convention,accrual_daycount_convention,primary_currency,holiday_calendar,face_value,asset_liability_type,product_variant_name,legal_entity,payment_frequency,payment_frequency_units,last_payment_date,base_rate,accrued_interest,discounting_curve,start_date,stub_date,business_convention,book_price,quantity,fixed_or_float_flag,npa_flag,npa_category,loan_overdue_flag,listed_flag,short_or_long_term,,redemption_amount,outstanding_amount
IN0020150036,POSGSEC069,SBI DFHI LIMITED,2015-05-25,2025-05-25,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-11-25,7.72,0,0,2024-03-28,,Modified Following,100.705,6000000,Fixed,FALSE,Standard,FALSE,Listed,Short-term,114,100,600000000
IN0020120047,POSGSEC071,SBI DFHI LIMITED,2012-09-24,2025-09-24,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-09-24,8.2,0,0,2024-04-16,,Modified Following,101.575,6000000,Fixed,FALSE,Standard,FALSE,Listed,Short-term,236,100,600000000
IN0020120047,POSGSEC073,SBI DFHI LIMITED,2012-09-24,2025-09-24,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-09-24,8.2,0,0,2024-05-03,,Modified Following,101.45,2500000,Fixed,FALSE,Standard,FALSE,Listed,Short-term,236,100,250000000
IN0020150036,POSGSEC074,SBI DFHI LIMITED,2015-05-25,2025-05-25,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-11-25,7.72,0,0,2024-06-13,,Modified Following,100.663,3500000,Fixed,FALSE,Standard,FALSE,Listed,Short-term,114,100,350000000
IN0020140060,POSGSEC081,SBI DFHI LIMITED,2014-11-24,2026-11-24,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-11-24,8.15,0,0,2024-11-12,,Modified Following,102.74,1000000,Fixed,FALSE,Standard,FALSE,Listed,Long-term,662,100,100000000
IN0020140060,POSGSEC083,SBI DFHI LIMITED,2014-11-24,2026-11-24,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-11-24,8.15,0,0,2024-11-21,,Modified Following,102.75,1500000,Fixed,FALSE,Standard,FALSE,Listed,Long-term,662,100,150000000
IN0020160035,POSGSEC084,SBI DFHI LIMITED,2016-09-06,2026-09-06,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-09-06,6.97,0,0,2024-12-06,,Modified Following,100.57,2500000,Fixed,FALSE,Standard,FALSE,Listed,Long-term,583,100,250000000
IN0020230119,POSGSEC085,SBI DFHI LIMITED,2023-10-30,2026-10-30,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-10-30,7.33,0,0,2024-12-10,,Modified Following,101.205,1000000,Fixed,FALSE,Standard,FALSE,Listed,Long-term,637,100,100000000
IN0020190016,POSGSEC086,SBI DFHI LIMITED,2019-04-08,2026-04-08,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-10-08,7.27,0,0,2024-12-27,,Modified Following,100.625,2000000,Fixed,FALSE,Standard,FALSE,Listed,Long-term,432,100,200000000
IN0020140060,POSGSEC088,SBI DFHI LIMITED,2014-11-24,2026-11-24,2025-01-31,30/360,30/360,INR,RBI_MUM,100,Asset,Fixed Coupon Central Government Bonds,Religare Finvest Limited,6,M,2024-11-24,8.15,0,0,2024-12-30,,Modified Following,102.51,500000,Fixed,FALSE,Standard,FALSE,Listed,Long-term,662,100,50000000
