id,created_by,created_date,modified_by,modified_date,active_from,active_to,product_variant_name,product_variant_code,product_tag,product_type,underlying_product_variant,attribute_list,asset_class,analysis_code_1,analysis_code_2,legal_entity,is_active_flag,business_units,irrbb_classification,z_spread_calculation,configuration_date,weekend_definition
155,revolutio_admin.antarescentral,22-10-2024 12:28,revolutio_admin.antarescentral,22-10-2024 12:28,22-10-2024 12:28,05-07-2099 05:30,EMI Loans,repo,None,Liability,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,15-10-2014,None
156,revolutio_admin.antarescentral,24-10-2024 07:42,revolutio_admin.antarescentral,24-10-2024 07:42,24-10-2024 07:42,05-07-2099 05:30,EMI Loans,RE,None,Liability,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,15-10-2015,None
157,revolutio_admin.antarescentral,24-10-2024 07:54,revolutio_admin.antarescentral,24-10-2024 07:54,24-10-2024 07:54,05-07-2099 05:30,EMI Loans,CCOD-A,None,Asset,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,13-10-2016,None
159,revolutio_admin.antarescentral,24-10-2024 09:59,revolutio_admin.antarescentral,24-10-2024 09:59,24-10-2024 09:59,05-07-2099 05:30,EMI Loans,FTL-B,None,Asset,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,03-10-2014,None
161,revolutio_admin.antarescentral,25-10-2024 11:41,revolutio_admin.antarescentral,25-10-2024 11:41,25-10-2024 11:41,05-07-2099 05:30,EMI Loans,UL,None,Liability,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,02-10-2014,None
162,revolutio_admin.antarescentral,28-10-2024 12:08,revolutio_admin.antarescentral,28-10-2024 12:08,28-10-2024 12:08,05-07-2099 05:30,EMI Loans,RD,None,Liability,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,01-10-2015,None
163,revolutio_admin.antarescentral,29-10-2024 10:21,revolutio_admin.antarescentral,29-10-2024 10:21,29-10-2024 10:21,05-07-2099 05:30,EMI Loans,FD Lien,Deposits,Liability,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,03-10-2015,None
165,revolutio_admin.antarescentral,29-10-2024 10:39,revolutio_admin.antarescentral,29-10-2024 10:39,29-10-2024 10:39,05-07-2099 05:30,EMI Loans,FC-c,None,Liability,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,04-10-2014,None
166,revolutio_admin.antarescentral,29-10-2024 10:48,revolutio_admin.antarescentral,29-10-2024 10:48,29-10-2024 10:48,05-07-2099 05:30,EMI Loans,UL-H,None,Asset,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,08-10-2015,None
168,revolutio_admin.antarescentral,07-11-2024 17:22,revolutio_admin.antarescentral,19-11-2024 10:21,07-11-2024 17:22,05-07-2099 05:30,EMI Loans,PS-U,None,OBS,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,14-11-2014,"{""7"":""""}"
167,revolutio_admin.antarescentral,06-11-2024 15:39,revolutio_admin.antarescentral,19-11-2024 11:20,06-11-2024 15:39,05-07-2099 05:30,EMI Loans,PS-A,None,OBS,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,13-11-2015,"{""7"":""""}"
169,revolutio_admin2.antarescentral,25-11-2024 12:19,revolutio_admin2.antarescentral,25-11-2024 12:19,25-11-2024 12:19,05-07-2099 05:30,EMI Loans,NCD-Asset,None,Asset,None,"{""1"": """"}",None,None,None,XYZ Ltd,Yes,None,None,None,12-11-2015,None
170,revolutio_admin2.antarescentral,25-11-2024 12:21,revolutio_admin2.antarescentral,25-11-2024 12:21,25-11-2024 12:21,05-07-2099 05:30,EMI Loans,ZCB,None,Liability,None,"{""1"": """"}",None,None,None,XYZ Ltd,Yes,None,None,None,11-11-2015,None
171,revolutio_admin.antarescentral,05-12-2024 13:30,revolutio_admin.antarescentral,05-12-2024 13:30,05-12-2024 13:30,05-07-2099 05:30,EMI Loans,FX-Split,None,OBS,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,21-12-2016,None
172,ashwin.antarescentral,09-12-2024 11:58,ashwin.antarescentral,09-12-2024 11:58,09-12-2024 11:58,05-07-2099 05:30,EMI Loans,FIG,Loans,Asset,None,"{""2"": """"}",None,None,None,ABC Ltd,Yes,None,Non-Amenable,None,31-01-2024,None
174,revolutio_admin.antarescentral,16-12-2024 17:51,revolutio_admin.antarescentral,16-12-2024 17:51,16-12-2024 17:51,05-07-2099 05:30,EMI Loans,EDI Loans,None,Asset,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,06-12-2017,None
175,revolutio_admin.antarescentral,06-01-2025 13:36,revolutio_admin.antarescentral,06-01-2025 13:36,06-01-2025 13:36,05-07-2099 05:30,EMI Loans,Certificate of Deposits - Liability,Loans,Liability,None,"{""3"": """"}",None,None,None,PQR Ltd,Yes,None,None,None,02-01-2015,None
158,revolutio_admin.antarescentral,24-10-2024 07:59,revolutio_admin.antarescentral,24-10-2024 07:59,24-10-2024 07:59,05-07-2099 05:30,EMI Loans,CCOD-UA,None,Liability,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,15-10-2016,None
160,revolutio_admin.antarescentral,24-10-2024 10:03,revolutio_admin.antarescentral,24-10-2024 10:03,24-10-2024 10:03,05-07-2099 05:30,EMI Loans,PTC-U,None,OBS,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,07-10-2015,None
164,revolutio_admin.antarescentral,29-10-2024 10:33,revolutio_admin.antarescentral,29-10-2024 10:33,29-10-2024 10:33,05-07-2099 05:30,EMI Loans,EMI - H,None,Asset,None,"{""1"": """"}",None,None,None,ABC Ltd,Yes,None,None,None,03-10-2014,None
173,ashwin.antarescentral,09-12-2024 11:58,ashwin.antarescentral,09-12-2024 11:58,09-12-2024 11:58,05-07-2099 05:30,EMI Loans,ECLGS,Loans,Asset,None,"{""2"": """"}",None,None,None,ABC Ltd,Yes,None,Non-Amenable,None,31-01-2024,None
