product_variant_name,model_name,model_mapping_scenario_analysis_id,model_code
EMI Loans,None,SCNR_ProdtoModel_001,M080
Bills Discounted,None,SCNR_ProdtoModel_001,M005
Fixed Term Loans,None,SCNR_ProdtoModel_001,M018
Ammortizing Loans,None,SCNR_ProdtoModel_001,M023
Fixed Coupon Central Government Bonds,None,SCNR_ProdtoModel_001,M002
Commercial Paper - Liability,None,SCNR_ProdtoModel_001,M002
Treasury Bills,None,SCNR_ProdtoModel_001,M002
Bills Discounted,None,SCNR_ProdtoModel_001,M005
Repo,None,SCNR_ProdtoModel_001,M019
Cash Credit and Overdrafts - Availed,None,SCNR_ProdtoModel_001,M049
Cash Credit and Overdrafts - Unavailed,None,SCNR_ProdtoModel_001,M050
Fixed Term Loans - Bank,None,SCNR_ProdtoModel_001,M018
Pass Through Certificate,None,SCNR_ProdtoModel_001,M019
Fixed Interest Certificate of Deposits - Asset,None,SCNR_ProdtoModel_001,M001
Fixed Interest State Development Loans,None,SCNR_ProdtoModel_001,M006
Refinances,None,SCNR_ProdtoModel_001,M047
Undisbursed Loans,None,SCNR_ProdtoModel_001,M075
Subordinate Debt,None,SCNR_ProdtoModel_001,M047
Current Account Deposits,None,SCNR_ProdtoModel_001,M048
Savings Account Deposits,None,SCNR_ProdtoModel_001,M049
Standing Deposit Facility,None,SCNR_ProdtoModel_001,M019
Recurring Deposits,None,SCNR_ProdtoModel_001,M056
Commercial Paper - Asset,None,SCNR_ProdtoModel_001,M005
Fixed Term Deposit - Bank,None,SCNR_ProdtoModel_001,M019
Fixed Term Deposit Placement - Lien Marked,None,SCNR_ProdtoModel_001,M019
Fixed Term Deposit - Cumulative,None,SCNR_ProdtoModel_001,M019
Preshipment - Availed,None,SCNR_ProdtoModel_001,M065
Preshipment - Unavailed,None,SCNR_ProdtoModel_001,M075
Current Account Deposits,None,Suryoday_ProdtoModel_001,M048
Fixed Term Deposit - Bank,None,Suryoday_ProdtoModel_001,M019
Fixed Term Loans - Bank,None,Suryoday_ProdtoModel_001,M018
Ammortizing Loans,None,Suryoday_ProdtoModel_001,M023
FX Forward Contract,None,SCNR_ProdtoModel_001,M001
EMI Loans,None,Suryoday_ProdtoModel_001,M080
EMI Loans - Housing,None,SCNR_ProdtoModel_001,M080
EMI Loans - Asset,None,SCNR_ProdtoModel_001,M080
Repo,None,Suryoday_ProdtoModel_001,M019
Reverse repo,None,Suryoday_ProdtoModel_001,M019
Zero Coupon State Development Loans,None,Suryoday_ProdtoModel_001,M001
Treasury Bills,None,Suryoday_ProdtoModel_001,M035
Floating Coupon Corporate Bonds,None,Suryoday_ProdtoModel_001,M007
Certificate of Deposits - Asset,None,Suryoday_ProdtoModel_001,M035
Cash Credit and Overdrafts - Unavailed,None,Suryoday_ProdtoModel_001,M048
Cash Credit and Overdrafts - Availed,None,Suryoday_ProdtoModel_001,M049
Standing Deposit Facility,None,Suryoday_ProdtoModel_001,M019
Refinances,None,Suryoday_ProdtoModel_001,M023
Fixed Term Deposit - Cumulative,None,Suryoday_ProdtoModel_001,M019
EMI Loans - Custom,None,Suryoday_ProdtoModel_001,M047
Notice Lending,None,Suryoday_ProdtoModel_001,M019
Undisbursed Loans,None,Suryoday_ProdtoModel_001,M048
EMI Loans Custom - Float,None,Suryoday_ProdtoModel_001,M047
Savings Account Deposits,None,Suryoday_ProdtoModel_001,M049
Fixed Term Deposit,None,Suryoday_ProdtoModel_001,M019
Fixed Interest State Development Loans,None,Suryoday_ProdtoModel_001,M006
Fixed Coupon Central Government Bonds,None,Suryoday_ProdtoModel_001,M002
Recurring Deposits,None,Suryoday_ProdtoModel_001,M019
IBPC - Borrowing,None,Suryoday_ProdtoModel_001,M019
IBPC - Lending,None,Suryoday_ProdtoModel_001,M019
Term Borrowing,None,Suryoday_ProdtoModel_001,M019
Term Lending,None,Suryoday_ProdtoModel_001,M019
Call Borrowing,None,Suryoday_ProdtoModel_001,M019
Call Lending,None,Suryoday_ProdtoModel_001,M019
ECLGS,None,Suryoday_ProdtoModel_001,M047
Certificate of Deposits - Liability,None,Suryoday_ProdtoModel_001,M035
EMI Loans - Housing,None,Suryoday_ProdtoModel_001,M047
FIG,None,Suryoday_ProdtoModel_001,M047
Non - Convertible Debentures - Asset,None,SCNR_ProdtoModel_001,M005
Notice Borrowing,None,Suryoday_ProdtoModel_001,M019
Subordinate Debt,None,Suryoday_ProdtoModel_001,M006
FX Forward Contract Split,None,SCNR_ProdtoModel_001,M001
EDI Loans,None,SCNR_ProdtoModel_001,M020
Zero Coupon Bonds,None,SCNR_ProdtoModel_001,M002
