id,curve_component,tenor,tenor_value,tenor_unit,rating,sector,source_name,product_variant_name,created_by,modified_by,created_date,modified_date,active_from,active_to,is_active_flag
798,FIMMDA_CB_PSU_FI_8Y_A-,8Y,8.0,Y,A-,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
799,FIMMDA_CB_PSU_FI_9Y_A-,9Y,9.0,Y,A-,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
800,FIMMDA_CB_PSU_FI_10Y_A-,10Y,10.0,Y,A-,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
801,FIMMDA_CB_PSU_FI_15Y_A-,15Y,15.0,Y,A-,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
802,FIMMDA_CB_PSU_FI_0.5Y_BBB+,0.5Y,0.5,Y,BBB+,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
803,FIMMDA_CB_PSU_FI_1Y_BBB+,1Y,1.0,Y,BBB+,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
804,FIMMDA_CB_PSU_FI_2Y_BBB+,2Y,2.0,Y,BBB+,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
805,FIMMDA_CB_PSU_FI_3Y_BBB+,3Y,3.0,Y,BBB+,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
806,FIMMDA_CB_PSU_FI_4Y_BBB+,4Y,4.0,Y,BBB+,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
807,FIMMDA_CB_PSU_FI_5Y_BBB+,5Y,5.0,Y,BBB+,PSU_FI_BANKS,FIMMDA,None,alm_dev2.antarescentral,alm_dev2.antarescentral,2024-10-04 16:46:29,2024-10-04 16:46:29,2024-10-04 16:46:29,2099-07-05 00:00:00,Yes
