,cf_analysis_id,extract_date,transaction_date,unique_reference_id,reference_dimension,cashflow_type,cashflow_status,cashflow,time_to_maturity,discount_factor,present_value,currency,asset_liability_type,product_variant_name,fund,portfolio,cohort,entity,position_id,created_by,modified_by,created_date,modified_date
0,20th Jan 2025,2024-07-31,2024-07-31,0456PLA00061377,Security,Accrued Interest,Unrealised,2539.0,0.01366120218579235,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
1,20th Jan 2025,2024-07-31,2024-08-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2914.4954918032786,0.01366120218579235,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
2,20th Jan 2025,2024-07-31,2024-08-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4271.504508196722,0.01366120218579235,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
3,20th Jan 2025,2024-07-31,2024-09-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2860.2263771499597,0.09836065573770492,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
4,20th Jan 2025,2024-07-31,2024-09-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4325.77362285004,0.09836065573770492,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
5,20th Jan 2025,2024-07-31,2024-10-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2714.775268880572,0.18032786885245902,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
6,20th Jan 2025,2024-07-31,2024-10-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4471.224731119428,0.18032786885245902,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
7,20th Jan 2025,2024-07-31,2024-11-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2748.461234128216,0.2650273224043716,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
8,20th Jan 2025,2024-07-31,2024-11-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4437.538765871785,0.2650273224043716,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
9,20th Jan 2025,2024-07-31,2024-12-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2605.2412914585493,0.3469945355191257,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
