cf_analysis_id,extract_date,transaction_date,unique_reference_id,reference_dimension,cashflow_type,cashflow_status,cashflow,time_to_maturity,discount_factor,present_value,currency,asset_liability_type,product_variant_name,fund,portfolio,cohort,entity,position_id,created_by,modified_by,created_date,modified_date
20th Jan 2025,2025-01-31,2025-05-26,IN0020150036,Security,Interest Proceeds,Unrealised,23159999.999999996,0.32222222222222224,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC069,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-05-23,IN0020150036,Security,Redemption Proceeds,Unrealised,600000000.0,0.3138888888888889,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC069,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-03-24,IN0020120047,Security,Interest Proceeds,Unrealised,24599999.999999996,0.15,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC071,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-09-24,IN0020120047,Security,Interest Proceeds,Unrealised,24599999.999999996,0.65,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC071,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-09-24,IN0020120047,Security,Redemption Proceeds,Unrealised,600000000.0,0.65,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC071,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-03-24,IN0020120047,Security,Interest Proceeds,Unrealised,10250000.0,0.15,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC073,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-09-24,IN0020120047,Security,Interest Proceeds,Unrealised,10250000.0,0.65,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC073,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-09-24,IN0020120047,Security,Redemption Proceeds,Unrealised,250000000.0,0.65,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC073,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-05-26,IN0020150036,Security,Interest Proceeds,Unrealised,13509999.999999998,0.32222222222222224,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC074,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-05-23,IN0020150036,Security,Redemption Proceeds,Unrealised,350000000.0,0.3138888888888889,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC074,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-05-26,IN0020140060,Security,Interest Proceeds,Unrealised,4075000.0,0.32222222222222224,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC081,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-11-24,IN0020140060,Security,Interest Proceeds,Unrealised,4075000.0,0.8166666666666667,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC081,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2026-05-25,IN0020140060,Security,Interest Proceeds,Unrealised,4075000.0,1.3194444444444444,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC081,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2026-11-24,IN0020140060,Security,Interest Proceeds,Unrealised,4075000.0,1.8166666666666667,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC081,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2026-11-24,IN0020140060,Security,Redemption Proceeds,Unrealised,100000000.0,1.8166666666666667,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC081,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-05-26,IN0020140060,Security,Interest Proceeds,Unrealised,6112500.0,0.32222222222222224,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC083,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2025-11-24,IN0020140060,Security,Interest Proceeds,Unrealised,6112500.0,0.8166666666666667,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC083,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
20th Jan 2025,2025-01-31,2026-05-25,IN0020140060,Security,Interest Proceeds,Unrealised,6112500.0,1.3194444444444444,,,INR,Asset,Fixed Coupon Central Government Bonds,,,,Religare Finvest Limited,POSGSEC083,anil,anil,2025-02-11 13:04:07.740735,2025-02-11 13:04:07.740735
